Rank,Road #,County,Begin MP,End MP,Coordinates,Latitude,Longitude
1,0011,POWELL,3.0000,3.5000,"37.79351790947950, -83.70271392958880",37.79351790947950,-83.70271392958880
2,0011,WOLFE,2.2000,2.3000,"37.72807639809310, -83.65853591810490",37.72807639809310,-83.65853591810490
3,9000,POWELL,31.0000,32.0000,"37.80817076445690, -83.71144906238550",37.80817076445690,-83.71144906238550
4,0205,BREATHITT,0.0000,3.5630,"37.59657873826140, -83.42145177723600",37.59657873826140,-83.42145177723600
5,0205,BREATHITT,0.8000,3.0000,"37.57658183756510, -83.40278506913350",37.57658183756510,-83.40278506913350
6,0011,WOLFE,2.8000,3.0000,"37.73699096118320, -83.65748594819530",37.73699096118320,-83.65748594819530
7,1110,BREATHITT,11.0000,13.0000,"37.47708198686840, -83.38055592309440",37.47708198686840,-83.38055592309440
8,0011,OWSLEY,10.0000,12.0000,"37.46494880684710, -83.68388946451420",37.46494880684710,-83.68388946451420
9,0052,BREATHITT,5.2000,7.0000,"37.54751888483210, -83.46183853912170",37.54751888483210,-83.46183853912170
10,0011,POWELL,0.0000,1.0000,"37.77610265955450, -83.67690675995190",37.77610265955450,-83.67690675995190
11,0205,BREATHITT,3.3000,6.0000,"37.59615913824400, -83.42028435618460",37.59615913824400,-83.42028435618460
12,3237,BREATHITT,2.0000,3.0000,"37.46611780684750, -83.47071614397020",37.46611780684750,-83.47071614397020
13,0011,WOLFE,4.5000,,"37.75667448852660, -83.66623222417610",37.75667448852660,-83.66623222417610
14,1110,BREATHITT,14.1000,15.1000,"37.48870923124400, -83.36173357065540",37.48870923124400,-83.36173357065540
15,0030,BREATHITT,16.1000,17.5000,"37.54912438957690, -83.34472320171390",37.54912438957690,-83.34472320171390
16,0015,PERRY,0.0000,1.0000,"37.21414178989760, -83.06713556280810",37.21414178989760,-83.06713556280810
17,0205,BREATHITT,0.8000,2.1500,"37.57674487821550, -83.40278940377480",37.57674487821550,-83.40278940377480
18,0315,BREATHITT,8.5000,11.1000,"37.47766523443110, -83.48335776123910",37.47766523443110,-83.48335776123910
19,2021,PERRY,2.0000,4.0000,"37.28269428937670, -83.28649102762660",37.28269428937670,-83.28649102762660
20,0011,WOLFE,5.0500,,"37.76271905440070, -83.66961486276250",37.76271905440070,-83.66961486276250
21,0699,PERRY,3.8000,4.0000,"37.04675845585940, -83.13316387898170",37.04675845585940,-83.13316387898170
22,0028,OWSLEY,1.0000,3.0000,"37.44839714480210, -83.64235271516790",37.44839714480210,-83.64235271516790
23,0080,PERRY,14.0000,15.0000,"37.34597829189710, -83.13277725330410",37.34597829189710,-83.13277725330410
24,0699,PERRY,7.0000,8.0000,"37.08551314215320, -83.10614261789600",37.08551314215320,-83.10614261789600
25,0028,PERRY,3.5000,3.7000,"37.34281451653090, -83.44482003823230",37.34281451653090,-83.44482003823230
26,1095,PERRY,0.0000,2.8690,"37.21125659648990, -83.05569316990460",37.21125659648990,-83.05569316990460
27,0451,PERRY,17.0000,18.0000,"37.31933833441810, -83.35411878881440",37.31933833441810,-83.35411878881440
28,0451,PERRY,19.0000,20.0000,"37.34113125371800, -83.35319773752140",37.34113125371800,-83.35319773752140
29,0030,MAGOFFIN,0.0000,3.0000,"37.63631645267060, -83.16467252064600",37.63631645267060,-83.16467252064600
30,0577,OWSLEY,0.0000,3.0000,"37.34391188380430, -83.70943104892900",37.34391188380430,-83.70943104892900
31,0541,BREATHITT,5.0000,8.2450,"37.60059033340560, -83.47921428942670",37.60059033340560,-83.47921428942670
32,0011,POWELL,17.0000,18.0000,"37.83625491362930, -83.88584168115620",37.83625491362930,-83.88584168115620
33,0541,BREATHITT,4.0000,5.0000,"37.60390292570160, -83.48311736729050",37.60390292570160,-83.48311736729050
34,0052,LEE,12.8000,13.4000,"37.57048754709270, -83.70084289126930",37.57048754709270,-83.70084289126930
35,0052,ESTILL,12.5000,13.5000,"37.71063395961040, -83.89715164592930",37.71063395961040,-83.89715164592930
36,0451,PERRY,1.0000,2.0000,"37.23881897909320, -83.17445243453180",37.23881897909320,-83.17445243453180
37,0397,BREATHITT,0.0000,3.5430,"37.50412770719280, -83.39733647879970",37.50412770719280,-83.39733647879970
38,1110,BREATHITT,5.0000,6.0000,"37.40017925156310, -83.38380067642150",37.40017925156310,-83.38380067642150
39,1812,BREATHITT,3.7310,13.4040,"37.59858273805980, -83.35401751668890",37.59858273805980,-83.35401751668890
40,0451,PERRY,13.0000,14.0000,"37.28243764136420, -83.32665097363150",37.28243764136420,-83.32665097363150
41,0451,PERRY,2.0000,3.0000,"37.24887829909220, -83.17781425636750",37.24887829909220,-83.17781425636750
42,0460,MORGAN,28.2380,28.2380,"37.83166780949720, -83.17397502565950",37.83166780949720,-83.17397502565950
43,0007,PERRY,0.0000,13.5700,"37.13130752077020, -83.08008484397400",37.13130752077020,-83.08008484397400
44,0476,PERRY,0.0000,22.2750,"37.27810466769840, -83.19391055501980",37.27810466769840,-83.19391055501980
45,0007,PERRY,12.0000,13.0000,"37.13464361522740, -83.07123126808510",37.13464361522740,-83.07123126808510
46,2024,OWSLEY,4.0000,4.1000,"37.40935008488360, -83.63209023220820",37.40935008488360,-83.63209023220820
47,0460,MORGAN,23.7000,25.0000,"37.87770515663630, -83.19972324234030",37.87770515663630,-83.19972324234030
48,0451,PERRY,3.4830,7.7310,"37.25101631346240, -83.23964346135660",37.25101631346240,-83.23964346135660
49,0847,OWSLEY,3.0000,6.1000,"37.46439560293290, -83.72078943787690",37.46439560293290,-83.72078943787690
50,0011,POWELL,0.0000,25.0390,"37.83756581756180, -83.88014248820030",37.83756581756180,-83.88014248820030
,,,,,,,
