RecordID,Rank,RT_Type,RoadNo,RT_Label,County,Functional Classification,DOT Latitude,DOT Longitude,RF MP,RF Latitude,RF Longitude,LS MP,LS Latitude,LS Longitude
1131,1,KY,1110,KY-1110,BREATHITT,Major Collector,37.47863923871030,-83.37969771990620,12.46,37.47863923871030,-83.37969771990620,12.46,37.47863923871030,-83.37969771990620
1111,2,KY,1110,KY-1110,BREATHITT,Major Collector,37.48870923124400,-83.36173357065540,14.65,37.48870923124400,-83.36173357065540,14.65,37.48870923124400,-83.36173357065540
28,3,KY,0315,KY-315,BREATHITT,Minor Collector,37.45325621845990,-83.47995782787810,8.80,37.45325621845990,-83.47995782787810,8.80,37.45325621845990,-83.47995782787810
927,4,KY,0052,KY-52,LEE,Major Collector,37.57048754709270,-83.70084289126930,13.10,37.57048754709270,-83.70084289126930,13.10,37.57048754709270,-83.70084289126930
424,5,KY,0011,KY-11,OWSLEY,Major Collector,37.46579161145940,-83.68346646377470,11.40,37.46357928593180,-83.68433045104440,11.26,37.46579161145940,-83.68346646377470
934,6,KY,0451,KY-451,PERRY,Minor Collector,37.31977381549180,-83.35301199889010,17.66,37.31977381549180,-83.35301199889010,17.66,37.31977381549180,-83.35301199889010
1115,7,KY,0030,KY-30,BREATHITT,Major Collector,37.54697087573930,-83.34422026940640,16.28,37.54760519220560,-83.34510457358070,16.21,37.54697087573930,-83.34422026940640
213,8,KY,0541,KY-541,BREATHITT,Minor Collector,37.60059033340560,-83.47921428942670,8.09,37.60340689383480,-83.42628356492390,5.05,37.60059033340560,-83.47921428942670
1109,9,KY,9000,KY-9000,POWELL,Principal Arterial - Other Freeways and Expressway,37.80830151961700,-83.71123226401750,31.84,37.80830151961700,-83.71123226401750,,N/A,N/A
121,10,KY,1812,KY-1812,BREATHITT,Major Collector,37.55927638021980,-83.36730078312890,3.96,37.56082967850430,-83.36658244982390,3.85,37.55927638021980,-83.36730078312890
809,11,KY,0451,KY-451,PERRY,Major Collector,37.22660394228980,-83.16596404857740,0.21,37.22660394228980,-83.16596404857740,0.21,37.22660394228980,-83.16596404857740
895,12,KY,0015,KY-15,BREATHITT,Principal Arterial - Other,37.53080371544880,-83.34103080455750,14.30,37.53231078424130,-83.34268564692010,14.16,37.53080371544880,-83.34103080455750
976,13,KY,0080,KY-80,PERRY,Principal Arterial - Other,37.34566746828730,-83.13661937085760,14.38,37.34566746828730,-83.13661937085760,,N/A,N/A
330,14,KY,1165,KY-1165,PERRY,Minor Collector,37.17378850411140,-83.14736825062530,6.98,37.17966386484190,-83.14800431006520,6.55,37.17378850411140,-83.14736825062530
257,15,KY,0541,KY-541,BREATHITT,Minor Collector,37.60231278696820,-83.48146774871100,4.91,37.60201762507240,-83.48121490458100,4.88,37.60231278696820,-83.48146774871100
