Road #,County,Project Type (REAL),MP,Tab Code,PDS,DS,Field Score,Detour Length (mi),DL-ES,ADT(max),ADT-ES,Exposure Score (MAX%),Risk Index,Rank,Project Type,Latitude,Longitude,Functional Classification
9000,POWELL,ROCKFALL,31.84,9000_POW_31.84,16,17,612,19.45,81,8788,81,100,612,1,ROCKFALL,37.80830152,-83.71123226,Principal Arterial - Other Freeways and Expressway
52,LEE,ROCKFALL,13.1,52_LEE_12.80-13.10,14,13,876,25.53,81,2117,27,66.7,584,2,ROCKFALL & LANDSLIDE,37.57048755,-83.70084289,Major Collector
541,BREATHITT,LANDSLIDE,5.05,541_BRE_4.88-5.09,13,16,798,19.23,81,628,9,55.6,443,3,ROCKFALL & LANDSLIDE,37.60059033,-83.47921429,Minor Collector
541,BREATHITT,LANDSLIDE,4.88,541_BRE_4.88-5.09,11,16,798,19.23,81,628,9,55.6,443,4,ROCKFALL & LANDSLIDE,37.60231279,-83.48146775,Minor Collector
3237,BREATHITT,ROCKFALL,1.9,3237_BRE_1.90-3.00,13,17,720,21.61,81,516,9,55.6,400,5,ROCKFALL & LANDSLIDE,37.46611781,-83.47071614,Minor Collector
52,BREATHITT,ROCKFALL,6.63,52_BRE_6.63,15,14,594,19.53,81,1507,27,66.7,396,6,ROCKFALL,37.54845407,-83.46096779,Major Collector
7,PERRY,ROCKFALL,12.38,7_PER_12.38,10,15,696,37.9,81,996,9,55.6,387,7,ROCKFALL & LANDSLIDE,37.13464362,-83.07123127,Major Collector
15,PERRY,ROCKFALL,0.58,15_PER_0.58,10,17,378,30.02,81,6773,81,100,378,8,ROCKFALL,37.21502464,-83.06486084,Principal Arterial - Other
28,PERRY,ROCKFALL,3.69,28_PER_3.69,10,15,678,20.27,81,670,9,55.6,377,9,ROCKFALL & LANDSLIDE,37.34291117,-83.44331905,Major Collector
476,PERRY,LANDSLIDE,6.3,476_PER_6.30,12,16,552,8.45,27,4002,81,66.7,368,10,ROCKFALL & LANDSLIDE,37.32690743,-83.14601427,Major Collector
451,PERRY,ROCKFALL,17.66,451_PER_17.66,10,14,654,25.94,81,627,9,55.6,363,11,ROCKFALL & LANDSLIDE,37.31977382,-83.353012,Minor Collector
