RecordID,RoadNo,RT_Label,County,FunctionalClassification,DOTLatitude,DOTLongitude,RFMP,RFLatitude,RFLongitude,LSMP,LSLatitude,LSLongitude,Rank,Mid MP,RT_UNIQUE,DetourLength
1111,1110,KY-1110,BREATHITT,Major Collector,37.48870923,-83.36173357,14.65,37.48870923124400,-83.36173357065540,14.65,37.48870923124400,-83.36173357065540,22,14.6,013-KY-1110  -000,18.26265463
938,3237,KY-3237,BREATHITT,Minor Collector,37.45281817,-83.47753704,1.90,37.46611780684750,-83.47071614397020,3.00,37.45281816616330,-83.47753704073690,10,2.5,013-KY-3237  -000,20.19898143
997,7,KY-7,PERRY,Major Collector,37.13458482,-83.07126999,12.38,37.13464361522740,-83.07123126808510,12.38,37.13458481609580,-83.07126999475290,9,12.5,097-KY-0007  -000,37.89945668
1132,52,KY-52,BREATHITT,Major Collector,37.54845407,-83.46096779,6.63,37.54845406675320,-83.46096778515300,,N/A,N/A,21,6.1,013-KY-0052  -000,19.75390956
121,1812,KY-1812,BREATHITT,Major Collector,37.55927638,-83.36730078,3.96,37.56082967850430,-83.36658244982390,3.85,37.55927638021980,-83.36730078312890,15,3.5,013-KY-1812  -000,6.327084163
10,52,KY-52,LEE,Major Collector,37.56938016,-83.70361151,19.50,37.57825411306060,-83.61384694552810,12.80,37.56938016439200,-83.70361150587150,36,18.593,065-KY-0052  -000,46.54161645
258,28,KY-28,OWSLEY,Major Collector,37.44839714,-83.64235272,2.82 & 1.90,37.44839714480210,-83.64235271516790,,N/A,N/A,34,2,095-KY-0028  -000,8.445992595
1115,30,KY-30,BREATHITT,Major Collector,37.54697088,-83.34422027,16.28,37.54760519220560,-83.34510457358070,16.21,37.54697087573930,-83.34422026940640,3,16.8,013-KY-0030  -000,57.7406861
213,541,KY-541,BREATHITT,Minor Collector,37.60059033,-83.47921429,8.09,37.60340689383480,-83.42628356492390,5.05,37.60059033340560,-83.47921428942670,1,6.623,013-KY-0541  -000,19.44338264
525,30,KY-30,MAGOFFIN,Major Collector,37.65925945,-83.14048901,0.20,37.63631645267060,-83.16467252064600,2.86,37.65925944797320,-83.14048901076440,19,1.5,077-KY-0030  -000,54.4456078
424,11,KY-11,OWSLEY,Major Collector,37.46579161,-83.68346646,11.40,37.46357928593180,-83.68433045104440,11.26,37.46579161145940,-83.68346646377470,25,11,095-KY-0011  -000,8.137469704
579,451,KY-451,PERRY,Major Collector,37.23881898,-83.17445243,1.40,37.23881897909320,-83.17445243453180,,N/A,N/A,45,1.5,097-KY-0451  -000,5.426440303
244,2019,KY-2019,MAGOFFIN,Major Collector,37.78269389,-83.09171507,,N/A,N/A,2.15,37.78269389208610,-83.09171507273800,38,1.5,077-KY-2019  -000,14.60903449
617,476,KY-476,PERRY,Major Collector,37.32690743,-83.14601427,6.70,37.33052851738380,-83.14141659530400,6.30,37.32690742801000,-83.14601427308840,29,6.5,097-KY-0476  -000,8.666490978
572,1110,KY-1110,BREATHITT,Major Collector,37.40399369,-83.38483429,5.56,37.40198681319110,-83.38376011877420,5.86,37.40399369292420,-83.38483429339710,39,5.5,013-KY-1110  -000,24.03266214
90,1812,KY-1812,BREATHITT,Minor Collector,37.57666511,-83.35820227,,N/A,N/A,5.51,37.57666511308470,-83.35820226948120,49,5.5,013-KY-1812  -000,14.60963741
1112,11,KY-11,POWELL,Minor Arterial,37.79351791,-83.70271393,3.25,37.79351790947950,-83.70271392958880,,N/A,N/A,28,3.25,099-KY-0011  -000,Unsolved Detour on State Routes
930,205,KY-205,BREATHITT,Major Collector,37.59616341,-83.42028302,3.40,37.59616341465360,-83.42028301550740,,N/A,N/A,32,0.5,013-KY-0205  -000,4.064270739
1122,11,KY-11,WOLFE,Minor Arterial,37.73699096,-83.65748595,2.90,37.73699096118320,-83.65748594819530,,N/A,N/A,30,2.9,119-KY-0011  -000,19.09009661
934,451,KY-451,PERRY,Minor Collector,37.31977382,-83.353012,17.66,37.31977381549180,-83.35301199889010,17.66,37.31977381549180,-83.35301199889010,11,17.5,097-KY-0451  -000,25.93686749
976,80,KY-80,PERRY,Principal Arterial - Other,37.34566747,-83.13661937,14.38,37.34566746828730,-83.13661937085760,,N/A,N/A,37,14.5,097-KY-0080  -000,7.9
1048,451,KY-451,PERRY,Minor Collector,37.24439189,-83.20007444,,N/A,N/A,3.87,37.24439189351020,-83.20007444091770,48,10,097-KY-0451  -000,8.565839874
389,851,KY-851,ESTILL,Minor Collector,37.673974,-83.95806393,,N/A,N/A,10.38,37.67397399889580,-83.95806392799870,27,10.797,033-KY-0851  -000,Unsolved Detour on State Routes
698,2022,KY-2022,PERRY,Local,37.33435289,-83.48742954,,N/A,N/A,6.90,37.33435288910300,-83.48742954250470,31,6.5,097-KY-2022  -000,59.17367764
809,451,KY-451,PERRY,Major Collector,37.22660394,-83.16596405,0.21,37.22660394228980,-83.16596404857740,0.21,37.22660394228980,-83.16596404857740,20,0.5,097-KY-0451  -000,5.887012238
1114,77,KY-77,MENIFEE,Major Collector,37.84694144,-83.64393863,,N/A,N/A,1.80 & 1.07 & 1.39,37.84694143759000,-83.64393862724570,50,1.6035,083-KY-0077  -000,44.33766684
335,11,KY-11,POWELL,Minor Arterial,37.86813416,-83.93272056,21.30,37.86813415901720,-83.93272055740830,21.30,37.86813415901720,-83.93272055740830,35,21.5,099-KY-0011  -000,19.05090167
2,89,KY-89,ESTILL,Major Collector,37.80329299,-84.0484044,,N/A,N/A,20.50,37.80329299289860,-84.04840439656840,46,20.5,033-KY-0089  -000,21.99801029
