Road #,County,Project Type,MP,RT_Unique,Tab Code,Latitude,Longitude,PDS,DS,Field Score,DL,DL-ES,ADT(max),ADT-ES,RANK SCORE,Risk Index,Rank,Functional Classification,Detour Length (mi),Exposure Score (MAX%)
52,LEE,ROCKFALL,13.1,065-KY-0052  -000,52_LEE_12.80-13.10,37.57048754709270,-83.70084289126930,14,13,876,26,81,2117,27,74.375,764,1,Major Collector,25.53,66.7
7,PERRY,ROCKFALL,12.38,097-KY-0007  -000,7_PER_12.38,37.13458481609580,-83.07126999475290,10,15,696,38,81,996,9,86.875,651,2,Major Collector,37.9,55.6
28,PERRY,ROCKFALL,3.69,097-KY-0028  -000,28_PER_3.69,37.34291117468370,-83.44331905424270,10,15,678,20,81,670,9,88.75,640,3,Major Collector,20.27,55.6
28,OWSLEY,ROCKFALL,2.82 & 1.90,095-KY-0028  -000,28_OWS_1.90-2.82,37.44839714480210,-83.64235271516790,12,17,624,8,27,869,9,90.625,595,4,Major Collector,8.01,22.2
7,PERRY,ROCKFALL,11.75,097-KY-0007  -000,7_PER_11.75,37.13458481609580,-83.07126999475290,8,17,630,43,81,996,9,86.25,587,5,Major Collector,42.84,55.6
541,BREATHITT,LANDSLIDE,4.88,013-KY-0541  -000,541_BRE_4.88-5.09,37.60059033340560,-83.47921428942670,11,16,798,19,81,628,9,46.875,587,5,Minor Collector,19.23,55.6
541,BREATHITT,LANDSLIDE,5.05,013-KY-0541  -000,541_BRE_4.88-5.09,37.60059033340560,-83.47921428942670,13,16,798,19,81,628,9,46.875,587,5,Minor Collector,19.23,55.6
9000,POWELL,ROCKFALL,31.84,099-KY-9000  -010,9000_POW_31.84,37.80830151961700,-83.71123226401750,16,17,612,19,81,8788,81,91.25,586,8,Principal Arterial - Other Freeways and Expressway,19.45,100
52,BREATHITT,ROCKFALL,6.63,013-KY-0052  -000,52_BRE_6.63,37.54845406675320,-83.46096778515300,15,14,594,20,81,1507,27,86.875,556,9,Major Collector,19.53,66.7
80,PERRY,ROCKFALL,14.38,097-KY-0080  -000,80_PER_14.38,37.34566746828730,-83.13661937085760,13,17,552,4,9,10107,81,100,552,10,Principal Arterial - Other,3.9,55.6
699,PERRY,ROCKFALL,7.85,097-KY-0699  -000,699_PER_7.85,37.07568752384730,-83.10994025798930,12,14,588,38,81,1130,9,87.5,552,10,Major Collector,37.8,55.6
451,PERRY,ROCKFALL,17.66,097-KY-0451  -000,451_PER_17.66,37.31977381549180,-83.35301199889010,10,14,654,26,81,627,9,57.5,516,12,Minor Collector,25.94,55.6
1571,ESTILL,LANDSLIDE,1.3,033-KY-1571  -000,1571_EST_1.30,37.68260124860440,-83.92743969071450,12,14,642,14,27,1287,9,56.25,502,13,Major Collector,13.66,22.2
1110,BREATHITT,LANDSLIDE,12.46,013-KY-1110  -000,1110_BRE_12.46,37.47863923871030,-83.37969771990620,15,16,582,34,81,1160,9,71.25,499,14,Major Collector,33.93,55.6
89,ESTILL,LANDSLIDE,2.5,033-KY-0089  -000,89_EST_2.50,37.60807215380070,-83.96680644017050,15,18,648,46,81,378,3,53.75,499,14,Major Collector,46.06,51.9
11,OWSLEY,ROCKFALL,11.4,095-KY-0011  -000,11_OWS_11.40,37.46579161145940,-83.68346646377470,15,14,540,8,27,1728,27,76.25,476,16,Major Collector,7.71,33.3
451,PERRY,LANDSLIDE,2.75,097-KY-0451  -000,451_PER_2.75,37.24887829909220,-83.17781425636750,9,16,600,5,27,3284,27,58.125,475,17,Major Collector,5.23,33.3
451,PERRY,ROCKFALL,2.75,097-KY-0451  -000,451_PER_2.75,37.24887829909220,-83.17781425636750,9,17,594,5,27,3284,27,58.125,470,18,Major Collector,5.23,33.3
699,PERRY,LANDSLIDE,6.96,097-KY-0699  -000,699_PER_6.96,37.07568752384730,-83.10994025798930,12,14,498,38,81,1130,9,85.625,463,19,Major Collector,38.29,55.6
451,PERRY,LANDSLIDE,0.21,097-KY-0451  -000,451_PER_0.21,37.22660394228980,-83.16596404857740,9,20,582,6,27,1203,9,56.25,455,20,Major Collector,5.7,22.2
1067,PERRY,LANDSLIDE,0.12,097-KY-1067  -000,1067_PER_0.12,37.34265934583630,-83.24914813413680,8,18,588,13,27,555,9,54.375,454,21,Minor Collector,13.33,22.2
3237,BREATHITT,ROCKFALL,1.9,013-KY-3237  -000,3237_BRE_1.90-3.00,37.45281816616330,-83.47753704073690,13,17,720,22,81,516,9,25,450,22,Minor Collector,21.61,55.6
205,BREATHITT,ROCKFALL,1.08 & 1.97,013-KY-0205  -000,205_BRE_1.08-1.97,37.57670413023870,-83.40280161046730,10,17,468,3,9,1733,27,88.75,442,23,Minor Collector,3.45,22.2
11,WOLFE,ROCKFALL,2.9,119-KY-0011  -000,11_WOL_2.90,37.73699096118320,-83.65748594819530,16,12,456,19,81,2200,27,91.25,437,24,Minor Arterial,19.09,66.7
11,POWELL,ROCKFALL,3.25,099-KY-0011  -000,11_POW_3.25,37.79351790947950,-83.70271392958880,16,12,456,22,81,3566,27,88.75,431,25,Minor Arterial,21.52,66.7
315,BREATHITT,ROCKFALL,8.8,013-KY-0315  -000,315_BRE_8.80,37.45325621845990,-83.47995782787810,11,17,540,22,81,573,9,56.875,424,26,Minor Collector,21.97,55.6
451,PERRY,LANDSLIDE,19.37,097-KY-0451  -000,451_PER_19.37,37.33584852354670,-83.35698016007480,12,16,534,26,81,627,9,58.125,423,27,Minor Collector,25.63,55.6
1812,BREATHITT,LANDSLIDE,4.20-4.31 & 4.84-5.00,013-KY-1812  -000,1812_BRE_4.20-4.84,37.59858273805980,-83.35401751668890,9,18,678,15,27,912,9,24.375,422,28,Minor Collector,14.76,22.2
1067,PERRY,ROCKFALL,0.56,097-KY-1067  -000,1067_PER_0.56,37.34265934583630,-83.24914813413680,8,12,534,13,27,555,9,55,414,29,Minor Collector,13.33,22.2
2019,MAGOFFIN,LANDSLIDE,2.15,077-KY-2019  -000,2019_MAG_2.15,37.78269389208610,-83.09171507273800,11,18,516,14,27,1244,9,57.5,407,30,Major Collector,14.38,22.2
30,BREATHITT,LANDSLIDE,16.21,013-KY-0030  -000,30_BRE_16.21,37.54697087573930,-83.34422026940640,13,16,492,58,81,926,9,64.375,405,31,Major Collector,57.74,55.6
451,PERRY,ROCKFALL,0.21,097-KY-0451  -000,451_PER_0.21,37.22660394228980,-83.16596404857740,9,14,510,6,27,1203,9,56.25,399,32,Major Collector,5.7,22.2
